timestamp,ax,ay,az
1479424215783636444,-0.1,0.59,9.42
1479424215793392052,0.1,0.68,9.22
1479424215803623237,0.24,0.73,9.52
1479424215814202191,0.26,0.72,9.22
1479424215823661144,0.19,0.7,9.61
1479424215833793190,0.08,0.66,10.01
1479424215844040973,-0.01,0.65,9.61
1479424215853490487,-0.06,0.64,9.91
1479424215863637576,-0.05,0.6,10.2
1479424215873650268,-0.01,0.54,9.61
1479424215883618421,0.01,0.52,9.52
1479424215893797124,0.02,0.54,9.81
1479424215904134932,0.03,0.55,9.61
1479424215914373568,0.06,0.52,9.81
1479424215923827403,0.1,0.52,10.01
1479424215933735266,0.13,0.56,9.81
1479424215944199406,0.13,0.62,10.01
1479424215954113805,0.1,0.64,9.81
1479424215964118817,0.03,0.61,10.01
1479424215973936855,-0.06,0.58,9.61
1479424215984074427,-0.11,0.54,9.42
1479424215993926772,0.0,0.53,9.52
1479424216004102091,0.23,0.54,9.32
1479424216014652809,0.41,0.6,8.53
1479424216024101115,0.37,0.66,8.53
1479424216034269625,0.17,0.67,9.71
1479424216044328892,0.03,0.64,10.79
1479424216054035835,0.03,0.62,10.59
1479424216064099775,0.05,0.64,10.5
1479424216074033249,0.07,0.64,10.1
1479424216084312722,0.08,0.6,9.81
1479424216094075348,0.12,0.57,9.02
1479424216104290451,0.2,0.58,8.63
1479424216115806672,0.3,0.58,9.32
1479424216124314418,0.36,0.57,9.91
1479424216134540903,0.4,0.61,9.61
1479424216144319454,0.47,0.71,9.02
1479424216154539090,0.49,0.8,9.71
1479424216164324426,0.34,0.78,10.01
1479424216175064382,0.14,0.7,9.91
1479424216184834961,0.04,0.6,9.32
1479424216195367721,0.03,0.52,9.71
1479424216204820519,0.06,0.48,9.32
1479424216215826760,0.13,0.47,8.93
1479424216227538893,0.24,0.51,9.02
1479424216235184210,0.33,0.6,9.42
1479424216244822062,0.33,0.69,9.52
1479424216255250622,0.3,0.73,9.61
1479424216264806883,0.26,0.71,9.61
1479424216274528322,0.18,0.67,9.81
1479424216284915863,0.1,0.64,10.2
1479424216295653229,0.04,0.62,9.81
1479424216305059329,0.07,0.61,9.52
1479424216316095367,0.2,0.65,9.81
1479424216325097213,0.39,0.74,9.52
1479424216335483985,0.56,0.83,9.61
1479424216345024816,0.61,0.88,10.1
1479424216355480803,0.5,0.86,10.2
1479424216365007134,0.33,0.79,10.3
1479424216375510708,0.17,0.69,10.79
1479424216385188464,0.12,0.61,10.59
1479424216395730292,0.14,0.57,10.5
1479424216405015323,0.21,0.58,11.09
1479424216416197891,0.33,0.6,10.99
1479424216425108187,0.49,0.64,10.89
1479424216435642519,0.64,0.69,10.99
1479424216445013755,0.72,0.72,10.69
1479424216455488487,0.69,0.71,10.4
1479424216465285902,0.58,0.69,10.1
1479424216475471461,0.44,0.65,10.01
1479424216485450436,0.31,0.61,10.5
1479424216495714037,0.21,0.57,10.79
1479424216505628018,0.19,0.57,10.99
1479424216516427228,0.23,0.59,11.18
1479424216525615172,0.25,0.61,11.38
1479424216535535937,0.26,0.6,11.48
1479424216545335145,0.26,0.58,11.28
1479424216555473597,0.25,0.58,11.18
1479424216565522634,0.22,0.57,10.89
1479424216575537746,0.18,0.56,10.59
1479424216585616567,0.1,0.61,10.2
1479424216595734645,0.07,0.69,9.71
1479424216605618166,0.18,0.8,8.83
1479424216616198456,0.37,0.88,8.63
1479424216625616427,0.49,0.9,8.73
1479424216635698140,0.46,0.82,9.12
1479424216645648779,0.33,0.71,9.32
1479424216655692523,0.18,0.6,9.61
1479424216665742488,0.06,0.48,9.42
1479424216675685623,0.01,0.43,9.22
1479424216685802516,0.02,0.46,9.42
1479424216695652806,-0.01,0.54,9.81
1479424216705743276,0.0,0.6,10.01
1479424216716462382,0.18,0.62,9.81
1479424216725976002,0.37,0.66,9.52
1479424216735842586,0.46,0.74,8.93
1479424216746119544,0.39,0.79,8.04
1479424216756021983,0.2,0.75,7.85
1479424216766235102,0.03,0.66,8.34
1479424216775799291,-0.03,0.62,9.12
1479424216786035090,0.0,0.67,9.32
1479424216795960579,0.06,0.79,9.52
1479424216806074073,0.15,0.91,9.12
1479424216816616650,0.15,0.95,8.53
1479424216826242485,0.04,0.9,8.63
1479424216836694226,-0.05,0.8,8.83
1479424216846018661,-0.02,0.69,9.81
1479424216856203759,0.11,0.63,9.61
1479424216866224679,0.28,0.66,9.02
1479424216876358346,0.31,0.73,8.83
1479424216886225459,0.18,0.79,9.22
1479424216896200086,0.1,0.78,10.2
1479424216906242612,0.14,0.74,10.3
1479424216916912770,0.2,0.73,9.71
1479424216926356159,0.21,0.72,9.02
1479424216936302979,0.16,0.72,8.24
1479424216946733640,0.1,0.7,9.12
1479424216956884042,0.08,0.67,10.4
1479424216966244054,0.1,0.7,10.79
1479424216976471770,0.19,0.75,10.1
1479424216986460110,0.32,0.78,9.71
1479424216996347811,0.38,0.75,10.4
1479424217006507234,0.38,0.65,11.09
1479424217017091197,0.37,0.58,10.99
1479424217026742758,0.33,0.52,10.5
1479424217036685424,0.32,0.48,10.1
1479424217046462308,0.34,0.47,9.61
1479424217056448716,0.3,0.55,9.81
1479424217066438847,0.22,0.7,10.59
1479424217076881437,0.22,0.82,10.4
1479424217086701661,0.28,0.81,11.09
1479424217096535393,0.21,0.71,11.09
1479424217106711370,0.05,0.62,10.1
1479424217117336058,-0.1,0.59,9.91
1479424217126694377,-0.19,0.53,10.89
1479424217136900908,-0.04,0.42,11.09
1479424217146737947,0.27,0.41,10.59
1479424217156890021,0.46,0.55,10.4
1479424217166715331,0.42,0.71,10.5
1479424217176732921,0.27,0.78,10.99
1479424217186971252,0.2,0.72,11.58
1479424217196883598,0.26,0.67,11.48
1479424217206858156,0.33,0.65,10.5
1479424217217662779,0.22,0.62,9.71
1479424217227280494,0.08,0.54,9.32
1479424217237282635,0.17,0.48,10.2
1479424217247105426,0.31,0.45,11.67
1479424217257139467,0.43,0.5,11.18
1479424217267460032,0.58,0.58,10.79
1479424217277033750,0.7,0.62,10.99
1479424217287011319,0.67,0.6,11.28
1479424217297013807,0.43,0.55,9.81
1479424217307062081,0.13,0.46,10.59
1479424217317833240,0.02,0.33,10.99
1479424217327094725,0.17,0.27,10.99
1479424217337402026,0.47,0.35,10.2
1479424217347174331,0.73,0.49,10.01
1479424217357335385,0.65,0.63,10.2
1479424217367213711,0.29,0.68,9.81
1479424217377513649,0.1,0.63,9.42
1479424217387220648,0.2,0.54,9.02
1479424217397408901,0.31,0.44,10.2
1479424217407404193,0.22,0.41,10.79
1479424217418038913,0.01,0.43,10.4
1479424217427358341,-0.01,0.51,9.81
1479424217437627550,0.14,0.62,9.12
1479424217447414289,0.3,0.7,8.63
1479424217457617199,0.36,0.66,8.83
1479424217467410722,0.27,0.52,9.71
1479424217477770127,0.11,0.37,9.81
1479424217487483262,0.0,0.31,9.02
1479424217497489838,0.04,0.41,8.14
1479424217507715596,0.12,0.53,8.53
1479424217518631433,0.12,0.57,9.22
1479424217527639808,0.14,0.52,9.52
1479424217537613902,0.16,0.48,8.83
1479424217547834755,0.13,0.47,9.61
1479424217557651817,0.14,0.43,10.89
1479424217567684846,0.05,0.39,9.61
1479424217577717265,-0.14,0.43,9.52
1479424217587715454,-0.15,0.5,9.42
1479424217597850427,0.02,0.55,9.42
1479424217607781875,0.24,0.58,9.42
1479424217618791860,0.4,0.61,9.22
1479424217627901145,0.47,0.62,9.02
1479424217637853243,0.41,0.6,8.93
1479424217647901490,0.22,0.55,9.61
1479424217657888347,0.07,0.47,8.83
1479424217667891785,0.03,0.46,9.42
1479424217677931146,0.08,0.49,9.32
1479424217687929400,0.12,0.52,9.22
1479424217698517603,0.16,0.54,9.81
1479424217707999326,0.22,0.51,9.81
1479424217719058603,0.32,0.47,9.42
1479424217728052198,0.48,0.44,8.83
1479424217738661598,0.6,0.41,8.83
1479424217748056749,0.58,0.37,9.81
1479424217758392880,0.36,0.34,9.91
1479424217768244441,0.07,0.36,9.81
1479424217778522147,0.0,0.46,9.71
1479424217788625012,0.08,0.58,9.61
1479424217798521437,0.14,0.67,8.73
1479424217808233300,0.15,0.75,7.65
1479424217819311615,0.26,0.73,8.73
1479424217828290485,0.46,0.6,10.5
1479424217838783521,0.56,0.49,9.81
1479424217848336141,0.4,0.46,9.52
1479424217858712345,0.23,0.49,9.52
1479424217868498840,0.15,0.52,10.1
1479424217878532479,0.06,0.52,10.5
1479424217888739559,-0.03,0.51,10.89
1479424217898495518,0.0,0.48,10.69
1479424217908632142,0.2,0.43,11.09
1479424217919286853,0.39,0.37,10.5
1479424217931132584,0.35,0.34,9.22
1479424217938905117,0.19,0.37,9.91
1479424217948628068,0.16,0.38,10.99
1479424217958974135,0.28,0.42,10.5
1479424217968619693,0.41,0.48,9.71
1479424217978810587,0.41,0.52,10.01
1479424217988742349,0.29,0.52,10.2
1479424217999236818,0.17,0.46,10.2
1479424218008739731,0.15,0.39,9.61
1479424218019686400,0.28,0.32,9.81
1479424218028788453,0.45,0.24,10.4
1479424218038798605,0.5,0.27,10.1
1479424218048822759,0.37,0.42,9.52
1479424218058868185,0.11,0.54,9.52
1479424218068863569,-0.1,0.56,9.81
1479424218079409696,-0.1,0.5,9.91
1479424218088932463,0.03,0.42,9.71
1479424218099256314,0.13,0.42,9.42
1479424218108966693,0.15,0.44,9.42
1479424218119742581,0.12,0.42,9.52
1479424218128992237,0.16,0.41,9.42
1479424218139265910,0.21,0.47,9.52
1479424218149120487,0.16,0.54,9.71
1479424218159107214,0.16,0.57,9.61
1479424218169095941,0.17,0.57,9.42
1479424218179364410,0.06,0.54,9.61
1479424218189160478,-0.01,0.5,9.71
1479424218199641744,0.03,0.46,9.61
1479424218209231320,0.11,0.38,9.61
1479424218220014982,0.18,0.36,9.52
1479424218229321479,0.17,0.42,9.52
1479424218239329508,0.15,0.5,9.81
1479424218249285446,0.18,0.55,10.2
1479424218259337638,0.22,0.51,10.3
1479424218269687923,0.26,0.49,9.91
1479424218279650301,0.29,0.47,9.52
1479424218289417349,0.23,0.44,9.42
1479424218299643877,0.14,0.39,9.81
1479424218309523090,0.09,0.34,10.69
1479424218320248283,0.11,0.35,10.69
1479424218329509021,0.21,0.45,10.2
1479424218339652771,0.35,0.55,9.61
1479424218349639230,0.45,0.59,9.52
1479424218359629473,0.51,0.54,10.2
1479424218369628295,0.54,0.43,10.4
1479424218379655616,0.47,0.35,10.3
1479424218389614312,0.41,0.33,10.5
1479424218399894100,0.45,0.37,10.2
1479424218409777196,0.48,0.46,9.52
1479424218420695753,0.46,0.55,9.71
1479424218429778979,0.46,0.57,9.91
1479424218439809574,0.5,0.55,9.81
1479424218449783633,0.52,0.52,9.61
1479424218459843309,0.53,0.49,9.71
1479424218469843881,0.55,0.5,9.71
1479424218479892774,0.51,0.5,9.71
1479424218489925239,0.4,0.5,9.71
1479424218499956099,0.3,0.5,9.52
1479424218509960971,0.25,0.53,9.42
1479424218520790139,0.27,0.56,9.61
1479424218529984211,0.35,0.59,9.52
1479424218540061482,0.38,0.61,9.71
1479424218550083389,0.4,0.62,9.42
1479424218560110725,0.46,0.6,9.32
1479424218570098699,0.48,0.58,9.32
1479424218580054544,0.39,0.57,9.61
1479424218590100542,0.28,0.6,9.52
1479424218600186395,0.21,0.63,9.91
1479424218610183323,0.16,0.62,9.71
1479424218620910130,0.12,0.62,9.32
1479424218630264080,0.11,0.66,9.12
1479424218640263056,0.15,0.7,9.52
1479424218650281318,0.2,0.7,9.71
1479424218660261104,0.21,0.66,9.32
1479424218670347901,0.18,0.65,9.42
1479424218680429093,0.14,0.68,9.32
1479424218690639680,0.14,0.7,9.52
1479424218700632597,0.13,0.69,9.22
1479424218710460215,0.08,0.65,9.22
1479424218721348822,0.02,0.61,9.12
1479424218730618665,0.02,0.6,9.52
1479424218740481512,0.09,0.59,9.71
1479424218750496265,0.18,0.58,9.71
1479424218760617578,0.21,0.59,9.22
1479424218771117055,0.13,0.63,8.93
1479424218780616607,0.0,0.64,9.02
1479424218790756122,-0.06,0.63,8.93
1479424218800768332,-0.13,0.62,9.02
1479424218810739602,-0.18,0.65,9.52
1479424218821414599,-0.1,0.69,9.71
1479424218831015234,0.06,0.7,9.52
1479424218841029782,0.13,0.71,9.32
1479424218850744961,0.08,0.72,8.73
1479424218860743724,0.02,0.75,8.83
1479424218870863882,0.04,0.75,9.61
1479424218880865218,0.13,0.72,9.61
1479424218890868666,0.2,0.69,9.22
1479424218900909869,0.16,0.69,8.83
1479424218911252066,0.1,0.71,8.73
1479424218921703489,0.07,0.71,9.12
1479424218930977609,0.04,0.67,10.1
1479424218940978615,-0.01,0.64,10.4
1479424218950967947,-0.02,0.66,10.4
1479424218961112128,0.0,0.68,10.4
1479424218971063288,0.0,0.67,10.2
1479424218981055587,0.0,0.66,9.71
1479424218991112542,0.07,0.64,9.42
1479424219001142368,0.19,0.62,10.4
1479424219011154956,0.27,0.6,10.3
1479424219021910512,0.3,0.62,10.1
1479424219031214810,0.31,0.68,9.42
1479424219041241400,0.31,0.75,9.71
1479424219051306226,0.31,0.76,10.5
1479424219061244100,0.3,0.7,10.5
1479424219071269625,0.24,0.64,10.59
1479424219081305104,0.18,0.61,10.69
1479424219091323244,0.16,0.58,10.79
1479424219101370956,0.17,0.55,10.69
1479424219111411715,0.21,0.54,10.01
1479424219122159486,0.32,0.54,9.61
1479424219131477821,0.47,0.56,9.52
1479424219141483933,0.59,0.6,9.81
1479424219151472662,0.62,0.64,9.81
1479424219161535843,0.57,0.67,9.71
1479424219171629080,0.49,0.66,10.2
1479424219181635938,0.39,0.6,10.79
1479424219191634379,0.33,0.54,10.4
1479424219201931148,0.29,0.51,9.81
1479424219211618354,0.23,0.52,9.91
1479424219222350416,0.19,0.53,10.2
1479424219231688436,0.23,0.56,10.2
1479424219241731969,0.3,0.6,10.3
1479424219251700382,0.35,0.67,9.81
1479424219261785010,0.41,0.74,9.52
1479424219272109274,0.43,0.74,9.91
1479424219281786497,0.32,0.69,10.3
1479424219291808038,0.17,0.63,10.2
1479424219301809347,-0.01,0.59,10.5
1479424219311903748,-0.19,0.58,10.5
1479424219322612657,-0.22,0.6,10.01
1479424219331982311,-0.04,0.63,10.2
1479424219342033775,0.19,0.69,9.81
1479424219352011480,0.35,0.72,9.61
1479424219361968481,0.41,0.69,10.5
1479424219372017504,0.37,0.62,10.69
1479424219382064620,0.25,0.57,10.4
1479424219392058550,0.16,0.56,10.3
1479424219402116126,0.11,0.58,10.3
1479424219412428099,0.05,0.58,10.4
1479424219423624256,0.03,0.54,10.1
1479424219432143206,0.14,0.52,9.81
1479424219442210980,0.28,0.52,10.01
1479424219452221580,0.36,0.52,10.3
1479424219462277035,0.43,0.52,10.2
1479424219472283996,0.57,0.53,10.5
1479424219482298992,0.69,0.57,10.59
1479424219492311010,0.56,0.62,10.5
1479424219502335457,0.22,0.64,10.69
1479424219512356733,-0.02,0.62,10.4
1479424219523825741,0.0,0.6,9.52
1479424219532402612,0.14,0.57,9.52
1479424219542415043,0.25,0.55,9.71
1479424219552480829,0.35,0.56,9.91
1479424219562493833,0.52,0.59,9.81
1479424219572491915,0.67,0.62,9.71
1479424219582515854,0.66,0.66,9.81
1479424219592628733,0.48,0.65,9.71
1479424219602612356,0.28,0.58,10.01
1479424219612628050,0.17,0.5,10.4
1479424219624070004,0.16,0.45,10.69
1479424219632625970,0.23,0.45,10.3
1479424219642657814,0.37,0.49,10.3
1479424219652702588,0.54,0.51,10.4
1479424219662688533,0.65,0.55,10.3
1479424219672761502,0.64,0.65,10.01
1479424219683615169,0.56,0.73,9.22
1479424219692769199,0.53,0.74,9.22
1479424219703661621,0.59,0.66,9.22
1479424219712864525,0.65,0.55,10.01
1479424219724353139,0.65,0.52,10.2
1479424219732882072,0.65,0.57,10.1
1479424219743959815,0.65,0.6,10.01
1479424219752947227,0.6,0.58,9.61
1479424219763663006,0.49,0.58,9.42
1479424219773426577,0.4,0.58,9.61
1479424219783656032,0.33,0.57,9.42
1479424219793446634,0.25,0.54,9.61
1479424219803703954,0.21,0.51,9.22
1479424219813459093,0.27,0.52,8.93
1479424219824425240,0.32,0.57,9.42
1479424219833194042,0.36,0.58,9.52
1479424219843933578,0.41,0.53,10.01
1479424219853208825,0.45,0.49,9.81
1479424219863683733,0.46,0.51,9.61
1479424219873264407,0.43,0.57,9.42
1479424219883656832,0.38,0.63,9.22
1479424219893286773,0.33,0.65,8.93
1479424219903722436,0.31,0.64,9.12
1479424219913658254,0.33,0.64,8.83
1479424219924404132,0.37,0.66,8.93
1479424219933398065,0.4,0.67,8.93
1479424219943923598,0.36,0.68,9.32
1479424219953779003,0.29,0.69,9.52
1479424219963913772,0.24,0.67,9.61
1479424219973494346,0.2,0.64,9.91
1479424219983650084,0.17,0.59,10.01
1479424219993509818,0.16,0.56,9.91
1479424220003649986,0.26,0.56,9.61
1479424220013807557,0.43,0.57,9.61
1479424220024410724,0.54,0.59,9.52
1479424220033801605,0.53,0.66,9.32
1479424220044186988,0.5,0.75,9.81
1479424220054290582,0.47,0.77,10.1
1479424220063696139,0.43,0.73,10.01
1479424220074337722,0.34,0.67,10.3
1479424220083929972,0.23,0.61,10.3
1479424220094307903,0.17,0.56,10.1
1479424220103934924,0.18,0.51,10.4
1479424220114288578,0.26,0.48,10.2
1479424220124640683,0.37,0.49,10.3
1479424220134305345,0.46,0.53,10.5
1479424220144258242,0.51,0.58,10.4
1479424220154369568,0.54,0.64,9.81
1479424220164161394,0.55,0.65,9.81
1479424220174346834,0.51,0.6,10.1
1479424220184164851,0.41,0.52,10.1
1479424220194303851,0.32,0.46,9.81
1479424220204407187,0.27,0.45,9.52
1479424220214334579,0.26,0.5,9.71
1479424220224909168,0.31,0.55,9.52
1479424220234332391,0.44,0.6,9.32
1479424220244865626,0.54,0.65,9.32
1479424220254369910,0.52,0.66,9.52
1479424220264179043,0.41,0.64,10.01
1479424220274394822,0.28,0.61,10.01
1479424220284450827,0.19,0.59,9.91
1479424220294425621,0.16,0.57,9.81
1479424220304430777,0.09,0.57,9.81
1479424220314834041,0.01,0.61,9.22
1479424220325368808,0.04,0.65,9.12
1479424220335361894,0.18,0.67,9.22
1479424220345160192,0.29,0.69,9.52
1479424220355142560,0.3,0.69,9.61
1479424220364863785,0.26,0.69,9.52
1479424220375153517,0.24,0.71,9.42
1479424220384867601,0.2,0.73,9.42
1479424220395541688,0.09,0.73,9.81
1479424220404868021,0.01,0.72,9.81
1479424220415306412,0.02,0.7,10.2
1479424220425619603,0.11,0.65,10.2
1479424220435674131,0.19,0.62,9.71
1479424220444974261,0.15,0.62,9.71
1479424220455317899,0.09,0.61,10.3
1479424220465107042,0.14,0.58,10.1
1479424220475321859,0.25,0.55,9.71
1479424220485072348,0.27,0.58,9.81
1479424220495622696,0.19,0.63,9.91
1479424220505133766,0.13,0.67,10.01
1479424220515339719,0.13,0.67,9.91
1479424220525876685,0.16,0.64,10.3
1479424220535358395,0.23,0.58,10.59
1479424220545072238,0.28,0.55,10.3
1479424220555644312,0.26,0.56,9.61
1479424220565106241,0.13,0.59,9.42
1479424220575631068,-0.01,0.61,9.91
1479424220585085413,-0.08,0.61,10.69
1479424220595518050,-0.03,0.61,10.5
1479424220605123612,0.06,0.64,10.1
1479424220615318989,0.15,0.67,9.52
1479424220625930473,0.2,0.67,9.52
1479424220635800301,0.2,0.63,9.42
1479424220645185428,0.19,0.58,9.61
1479424220655569656,0.21,0.54,9.81
1479424220665364100,0.25,0.54,10.4
1479424220675527747,0.3,0.59,10.2
1479424220685391001,0.28,0.64,10.3
1479424220695624815,0.17,0.69,10.4
1479424220705386039,0.1,0.7,9.81
1479424220715534527,0.15,0.62,10.1
1479424220726308856,0.23,0.52,9.81
1479424220735695475,0.29,0.49,10.01
1479424220745727237,0.32,0.54,9.32
1479424220755537548,0.28,0.63,9.12
1479424220765637012,0.28,0.7,9.32
1479424220775940046,0.34,0.71,9.71
1479424220785641442,0.37,0.7,10.01
1479424220795812881,0.33,0.69,10.1
1479424220805824783,0.2,0.65,10.2
1479424220815631004,0.04,0.59,10.4
1479424220826632797,-0.04,0.55,9.91
1479424220835759300,-0.06,0.55,9.61
1479424220846061489,-0.05,0.61,9.61
1479424220855637716,0.01,0.68,9.52
1479424220865694898,0.12,0.71,9.61
1479424220876105090,0.21,0.72,9.61
1479424220886085388,0.24,0.72,10.1
1479424220895674275,0.19,0.72,10.1
1479424220905791953,0.12,0.68,10.4
1479424220916038446,0.07,0.59,10.3
1479424220926995512,-0.02,0.52,10.1
1479424220936017589,-0.11,0.52,10.4
1479424220946057499,-0.07,0.56,10.5
1479424220955894827,0.04,0.58,10.5
1479424220966336182,0.2,0.6,10.4
1479424220976089839,0.33,0.61,10.1
1479424220986071458,0.32,0.64,9.91
1479424220996015381,0.18,0.66,10.1
1479424221006107590,0.05,0.63,9.71
1479424221015975080,0.0,0.55,10.01
1479424221026807347,0.0,0.51,10.4
1479424221036062516,0.06,0.51,10.5
1479424221046109198,0.18,0.54,10.79
1479424221056096650,0.29,0.57,10.01
1479424221066153700,0.3,0.56,9.32
1479424221076369826,0.28,0.52,9.42
1479424221086362677,0.27,0.47,10.2
1479424221096306602,0.27,0.45,10.1
1479424221106197926,0.25,0.46,10.1
1479424221116630185,0.22,0.52,9.81
1479424221126973833,0.22,0.63,9.42
1479424221136517246,0.26,0.71,9.12
1479424221146635356,0.31,0.72,9.22
1479424221156766293,0.32,0.66,9.42
1479424221166385758,0.31,0.57,9.52
1479424221177153164,0.28,0.5,9.71
1479424221186392592,0.24,0.5,9.22
1479424221196417873,0.15,0.56,9.52
1479424221206784615,0.1,0.64,9.61
1479424221216732130,0.15,0.7,9.81
1479424221227245758,0.23,0.72,10.01
1479424221236927782,0.3,0.71,9.81
1479424221246640996,0.33,0.68,9.22
1479424221256619688,0.27,0.63,9.22
1479424221266629303,0.14,0.57,9.42
1479424221277237722,0.08,0.53,9.52
1479424221286658881,0.08,0.53,9.81
1479424221296813643,0.08,0.57,9.91
1479424221306698163,0.1,0.64,9.71
1479424221316950399,0.13,0.67,10.1
1479424221327470388,0.17,0.67,10.01
1479424221336970766,0.18,0.64,9.91
1479424221346858537,0.09,0.59,10.2
1479424221357010577,0.0,0.56,10.2
1479424221366825076,0.02,0.54,9.52
1479424221377160732,0.12,0.53,8.83
1479424221387074757,0.21,0.55,9.22
1479424221396929436,0.24,0.57,9.42
1479424221406935581,0.2,0.59,10.01
1479424221417267649,0.13,0.59,9.71
1479424221427760117,0.12,0.59,9.52
1479424221437233532,0.1,0.58,9.71
1479424221447312039,0.05,0.54,10.1
1479424221457098123,0.0,0.48,9.71
1479424221467359759,-0.01,0.46,10.3
1479424221477108696,0.0,0.49,10.2
1479424221487155169,0.06,0.57,9.91
1479424221497196106,0.17,0.64,9.52
1479424221507153218,0.3,0.67,9.42
1479424221517283825,0.35,0.66,9.52
1479424221527936453,0.31,0.6,9.32
1479424221537284348,0.22,0.53,9.91
1479424221547240212,0.15,0.5,10.3
1479424221557335392,0.1,0.53,10.01
1479424221567366453,0.08,0.58,10.1
1479424221577520257,0.11,0.61,10.1
1479424221587357576,0.17,0.61,10.3
1479424221597364867,0.21,0.59,10.01
1479424221607629444,0.21,0.58,10.2
1479424221617701306,0.17,0.55,10.1
1479424221628184805,0.13,0.51,10.2
1479424221637627313,0.15,0.48,10.01
1479424221647836089,0.2,0.49,9.81
1479424221657802914,0.23,0.52,10.1
1479424221667629776,0.22,0.56,10.2
1479424221677741116,0.18,0.56,9.91
1479424221687683648,0.18,0.54,9.81
1479424221697639265,0.19,0.52,10.1
1479424221707912622,0.17,0.51,10.3
1479424221717743035,0.14,0.49,10.2
1479424221728465870,0.13,0.46,10.2
